City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Pilar,BR,-9.5972,-35.9567,76.93,95,100,2.06,overcast clouds
336,Ca Mau,VN,9.1769,105.15,84.13,73,96,4.9,overcast clouds
337,Novo Aripuana,BR,-5.1206,-60.3797,67.84,76,77,1.52,light rain
338,Songjianghe,CN,42.1859,127.479,69.37,39,1,6.02,clear sky
339,Poum,NC,-20.2333,164.0167,78.08,78,0,11.74,clear sky
340,Wrexham,GB,53.0,-3.0,52.23,89,100,5.79,overcast clouds
341,Oleksandrivka,UA,48.9634,32.2349,46.9,69,15,7.63,few clouds
342,Souillac,MU,-20.5167,57.5167,72.05,86,25,10.33,light rain
343,Sitka,US,57.0531,-135.33,57.09,62,0,6.91,clear sky
344,Belaya Kholunitsa,RU,58.84,50.8528,34.92,80,84,4.38,broken clouds
